prospect_no,loan_disb_date,asset_cost,disb_date,down_payment,roi,age,is_exist_cust,dist_from_off,is_expat,children,earning_members,yrs_in_curr_resi,source_type,marital_status,gender,applicant_type,locality,accommodation_type,current_residence,veh_own,foir,tenure,vin_in_business,itv,itvg,target
351135,2022-12-11,589123,2020-04-09,142901,8.08,20,0,12.19,0,4,3,30,Salary,Single,Other,Primary,Semi-Urban,Company Provided,Others,1,46.77,128,9,8.68,4.01,0
983895,2020-02-25,213441,2022-11-28,166227,11.8,31,0,33.04,0,2,1,21,Business,Divorced,Male,Primary,Semi-Urban,Parents,Shared,0,23.45,198,9,7.86,1.34,0
813550,2023-11-08,613971,2024-12-16,18718,6.74,23,0,11.65,0,2,1,8,Business,Married,Male,Co-Applicant,Urban,Owned,Others,1,20.75,172,14,8.22,1.68,0
237561,2022-06-30,839581,2023-07-25,66426,7.68,60,0,3.61,1,5,3,19,Salary,Widowed,Male,Co-Applicant,Rural,Rented,Shared,0,38.15,167,8,1.79,4.29,1
247310,2023-10-13,192254,2024-07-22,107900,12.52,27,1,9.52,1,2,4,6,Salary,Single,Male,Co-Applicant,Urban,Company Provided,Shared,1,46.26,206,4,9.59,4.73,0
637727,2024-02-27,773897,2021-03-28,185842,13.74,60,0,22.29,1,2,3,30,Salary,Widowed,Female,Primary,Urban,Rented,House,1,28.07,59,2,8.6,3.59,0
668281,2022-05-01,403058,2022-03-11,109687,9.74,30,1,40.36,0,3,1,3,Others,Widowed,Other,Co-Applicant,Rural,Owned,Others,0,40.5,180,14,5.43,4.1,0
971438,2024-11-21,261183,2020-11-30,192741,11.62,18,0,14.82,1,5,2,23,Business,Married,Male,Primary,Urban,Company Provided,House,0,56.02,216,16,1.31,3.72,0
723245,2025-01-01,299748,2020-06-12,71054,12.14,57,0,13.89,1,1,4,28,Business,Married,Female,Primary,Urban,Rented,Shared,1,58.32,131,5,7.89,0.32,0
383382,2023-07-12,337993,2021-08-18,86549,12.91,44,0,22.56,0,1,1,28,Business,Single,Other,Co-Applicant,Rural,Owned,Others,0,58.37,12,4,5.41,2.93,0
782689,2023-03-19,416893,2021-06-04,70478,5.02,28,1,12.07,0,3,3,27,Salary,Widowed,Female,Primary,Rural,Company Provided,Apartment,0,20.64,35,17,8.16,4.92,1
685860,2020-05-20,930024,2021-03-12,186576,8.8,53,1,34.27,1,1,3,28,Others,Widowed,Female,Primary,Urban,Company Provided,House,0,24.21,108,4,7.02,4.81,1
302978,2023-04-26,805530,2022-10-15,99258,9.08,19,0,28.42,1,1,1,3,Others,Single,Other,Co-Applicant,Rural,Company Provided,Others,0,24.36,34,18,3.93,4.03,0
307102,2024-02-11,131051,2023-07-07,14796,14.66,57,1,47.0,0,4,3,12,Others,Divorced,Male,Primary,Rural,Owned,Others,0,55.96,52,4,6.65,4.33,0
280107,2023-11-10,985343,2020-06-06,124353,8.65,24,0,49.94,1,5,4,7,Business,Widowed,Male,Co-Applicant,Rural,Company Provided,Apartment,0,55.33,172,1,0.7,4.57,0
268742,2022-06-21,310923,2023-09-02,93685,8.27,36,1,36.56,0,3,3,13,Business,Widowed,Other,Primary,Semi-Urban,Parents,House,1,55.78,231,3,3.22,3.41,0
283485,2020-08-26,818128,2024-04-17,192786,10.27,69,1,42.21,1,4,3,7,Business,Widowed,Female,Primary,Rural,Parents,House,1,23.48,13,13,8.02,4.1,0
541548,2021-04-15,676304,2020-09-02,20183,10.44,55,0,26.0,1,2,4,26,Salary,Widowed,Other,Co-Applicant,Urban,Parents,Others,1,53.94,127,18,9.47,4.8,0
776918,2024-04-21,88740,2022-08-26,159040,10.24,42,0,34.9,0,3,2,6,Others,Married,Male,Primary,Rural,Company Provided,Others,1,24.2,169,15,6.23,2.71,0
651604,2023-06-01,695890,2023-03-17,117516,12.46,38,1,34.3,1,1,2,12,Salary,Single,Female,Primary,Urban,Company Provided,Shared,0,52.02,102,11,3.09,1.8,0
142477,2021-05-31,149919,2021-05-04,133457,12.03,35,1,33.76,1,4,2,30,Business,Divorced,Female,Co-Applicant,Semi-Urban,Owned,Shared,0,24.66,219,12,5.73,1.03,0
603445,2020-12-15,625710,2024-03-26,32974,7.74,45,1,13.35,1,0,1,16,Business,Widowed,Female,Co-Applicant,Semi-Urban,Owned,Apartment,0,22.72,158,20,7.62,3.41,1
771618,2020-10-18,371132,2023-10-02,180912,9.66,43,1,19.09,0,5,2,1,Business,Married,Female,Co-Applicant,Urban,Company Provided,Others,1,43.78,106,11,5.36,3.67,0
592596,2023-09-28,270843,2022-01-02,44279,14.17,58,1,32.43,1,5,3,6,Others,Married,Female,Primary,Rural,Rented,Shared,1,25.79,92,7,4.48,1.24,0
327015,2020-11-27,524946,2024-06-21,75795,14.85,68,1,9.14,1,4,4,3,Business,Widowed,Other,Primary,Urban,Company Provided,Apartment,1,27.48,145,16,9.93,2.1,0
685987,2023-03-27,715090,2023-07-11,23890,14.11,35,0,3.91,0,1,4,26,Business,Divorced,Other,Co-Applicant,Rural,Parents,House,0,28.07,175,22,6.73,2.54,0
464867,2023-10-27,174736,2023-06-08,140346,14.14,19,1,12.36,0,4,2,2,Others,Divorced,Other,Co-Applicant,Semi-Urban,Parents,Apartment,1,28.4,220,16,3.96,2.57,0
422639,2023-06-16,770833,2022-05-19,27642,13.97,46,0,7.79,1,2,1,30,Others,Married,Female,Primary,Urban,Rented,Apartment,0,31.42,170,10,7.75,2.81,0
952697,2024-07-16,376372,2022-12-16,154713,9.09,31,1,20.32,0,1,4,4,Salary,Single,Other,Co-Applicant,Semi-Urban,Owned,House,0,26.58,47,18,6.61,1.16,1
964836,2024-03-29,318179,2024-07-04,170835,13.51,44,0,26.94,0,1,1,2,Salary,Single,Female,Primary,Urban,Owned,House,1,33.4,127,18,1.5,1.14,0
896368,2023-04-12,603857,2020-05-16,47653,6.02,38,1,25.15,0,3,3,7,Salary,Divorced,Male,Co-Applicant,Urban,Rented,Others,0,28.5,187,9,1.85,1.1,1
105382,2021-06-25,64434,2021-02-26,179152,11.66,42,0,42.8,0,1,1,12,Others,Divorced,Female,Primary,Semi-Urban,Parents,Apartment,1,42.19,176,17,6.37,3.07,0
937865,2021-10-17,829358,2023-12-05,167624,8.58,41,0,40.49,1,3,4,17,Business,Divorced,Other,Primary,Urban,Rented,House,1,43.96,234,4,7.88,2.64,0
918480,2024-06-02,828601,2024-03-07,71049,5.31,59,0,41.09,1,5,1,6,Salary,Widowed,Other,Primary,Urban,Owned,House,1,27.76,108,2,4.14,0.85,1
642610,2020-12-14,741945,2024-07-15,64951,9.61,54,1,20.52,0,5,1,19,Others,Divorced,Female,Primary,Semi-Urban,Company Provided,Apartment,0,38.09,16,16,8.61,1.08,1
140707,2023-08-07,262930,2022-11-25,129991,12.13,66,0,21.77,0,5,4,22,Others,Single,Female,Primary,Semi-Urban,Rented,House,1,31.65,103,8,3.07,0.82,0
175752,2021-08-21,663789,2023-02-01,151475,10.67,19,0,44.33,1,3,4,1,Others,Divorced,Male,Co-Applicant,Rural,Rented,House,1,47.33,57,1,6.95,0.19,0
905717,2023-11-05,802882,2023-08-04,137304,6.17,29,1,21.74,1,5,1,30,Business,Single,Female,Primary,Rural,Company Provided,House,1,59.03,113,18,1.33,1.86,0
600262,2023-03-13,574519,2020-05-13,17122,12.19,22,1,24.26,1,4,3,13,Others,Married,Female,Primary,Semi-Urban,Owned,House,0,59.42,78,4,3.38,0.77,0
675076,2021-09-25,380933,2024-10-04,154549,5.34,25,1,6.33,0,0,1,14,Others,Divorced,Other,Co-Applicant,Urban,Company Provided,Others,0,55.79,143,8,4.95,4.16,0
695334,2023-01-13,601173,2022-01-30,89506,11.88,25,1,46.88,0,0,2,19,Others,Married,Female,Co-Applicant,Rural,Company Provided,Shared,0,38.95,34,2,9.28,0.91,0
598061,2024-03-09,735800,2020-04-04,12400,14.85,37,0,47.51,1,4,2,9,Business,Married,Male,Primary,Urban,Rented,Apartment,1,44.84,137,3,4.21,1.52,0
213754,2020-10-30,739746,2020-05-18,194174,8.37,65,0,29.74,1,5,1,28,Others,Divorced,Female,Co-Applicant,Rural,Owned,Apartment,1,52.76,104,20,0.9,2.97,0
258206,2024-06-19,206161,2021-05-21,94418,12.39,23,0,6.41,1,5,3,6,Business,Divorced,Female,Primary,Rural,Company Provided,Apartment,1,39.7,14,24,5.89,2.11,0
716572,2023-01-23,115095,2021-08-28,139885,13.98,66,1,31.18,0,2,1,24,Others,Divorced,Male,Primary,Semi-Urban,Owned,Shared,0,27.84,99,24,2.54,3.88,0
462255,2024-05-14,434758,2023-07-15,27404,7.48,39,0,36.08,1,2,2,27,Others,Widowed,Male,Primary,Urban,Company Provided,Others,0,48.53,198,5,4.6,4.02,0
173483,2023-05-11,730081,2021-04-04,181709,8.43,69,0,10.15,0,2,1,15,Salary,Married,Male,Co-Applicant,Rural,Company Provided,Others,1,59.96,46,11,7.16,3.92,0
786852,2023-08-15,53352,2022-09-21,80125,12.76,58,0,12.59,1,2,1,21,Salary,Divorced,Male,Co-Applicant,Semi-Urban,Parents,Shared,1,20.59,210,9,8.02,3.95,0
332842,2024-05-19,343414,2023-05-21,76432,6.69,41,0,39.29,1,5,3,2,Salary,Divorced,Female,Co-Applicant,Semi-Urban,Owned,Apartment,0,25.34,165,15,1.6,2.35,1
852167,2024-11-03,313253,2023-12-31,28711,13.94,45,1,23.29,0,2,2,16,Business,Divorced,Female,Co-Applicant,Rural,Company Provided,Shared,1,28.67,174,13,1.31,0.95,0
911119,2021-10-18,693861,2022-12-20,176117,14.9,58,0,36.03,1,5,3,13,Salary,Widowed,Male,Co-Applicant,Semi-Urban,Company Provided,Apartment,0,24.44,120,4,6.28,2.42,0
369846,2024-03-09,278478,2020-11-15,82886,5.41,68,0,4.6,1,3,3,7,Others,Married,Other,Primary,Semi-Urban,Company Provided,Shared,0,33.31,78,14,9.93,0.18,0
570091,2021-09-12,55926,2024-11-08,132727,8.17,35,0,18.13,0,5,2,21,Others,Divorced,Other,Primary,Semi-Urban,Company Provided,Apartment,1,31.17,156,14,6.31,1.04,1
314298,2023-08-05,507186,2020-09-19,24211,10.04,46,1,16.06,0,1,2,16,Others,Married,Female,Primary,Semi-Urban,Owned,Shared,0,20.64,203,6,3.19,0.73,0
934675,2024-07-13,418861,2022-12-10,171284,6.64,56,1,0.64,1,1,4,8,Salary,Single,Female,Primary,Rural,Owned,Others,0,55.07,64,4,4.44,0.96,0
126284,2022-05-31,726866,2020-04-17,150277,10.18,33,0,17.57,0,0,1,16,Others,Married,Other,Primary,Rural,Company Provided,Shared,1,58.91,202,13,4.38,3.8,0
208709,2023-09-09,554268,2023-02-01,98975,8.82,41,1,17.1,0,0,4,14,Salary,Divorced,Female,Co-Applicant,Urban,Parents,Shared,1,49.94,92,15,9.57,0.84,0
961829,2022-02-04,210295,2020-03-22,147040,10.24,35,1,49.24,0,1,1,8,Business,Married,Male,Co-Applicant,Rural,Owned,Shared,0,36.94,154,16,5.85,0.98,0
557717,2023-12-12,565008,2021-02-09,195525,11.4,51,0,10.88,0,3,4,6,Others,Divorced,Male,Primary,Rural,Owned,House,1,30.22,85,24,9.7,4.09,0
473895,2023-04-03,54041,2021-07-09,66267,7.21,52,0,6.21,0,0,4,16,Business,Single,Male,Primary,Urban,Owned,Apartment,0,30.37,195,5,3.92,2.55,1
980495,2020-07-29,832726,2023-05-22,106981,10.32,26,0,34.4,0,2,3,5,Business,Divorced,Male,Co-Applicant,Semi-Urban,Rented,House,0,42.56,102,2,8.06,3.22,0
877607,2022-11-21,988467,2022-06-06,16779,7.86,44,0,45.85,1,2,1,22,Salary,Widowed,Female,Primary,Semi-Urban,Rented,House,1,29.09,235,7,6.56,2.04,1
737362,2020-08-09,322312,2023-11-20,16042,10.98,67,1,29.41,1,3,3,19,Business,Single,Other,Co-Applicant,Rural,Parents,Shared,1,36.73,112,13,6.88,2.47,0
126268,2024-02-12,800733,2021-08-12,190916,13.24,46,1,1.67,0,3,1,6,Business,Married,Male,Primary,Rural,Parents,Apartment,1,48.98,141,17,2.37,1.79,0
204088,2021-09-23,875636,2020-08-23,41420,9.38,70,1,21.93,0,5,2,4,Others,Single,Female,Primary,Urban,Company Provided,Others,0,26.51,74,23,4.68,3.5,0
970283,2022-11-09,569502,2024-12-12,137988,9.81,54,0,42.19,1,3,4,3,Salary,Married,Male,Co-Applicant,Semi-Urban,Owned,House,1,34.98,189,16,9.59,0.77,1
574942,2023-03-13,101547,2022-01-25,11617,9.22,56,1,2.64,0,1,2,12,Salary,Divorced,Female,Primary,Urban,Company Provided,Others,1,32.65,137,16,3.49,0.87,1
379660,2024-12-19,805868,2024-06-01,40555,12.51,24,1,20.76,1,1,4,29,Others,Divorced,Female,Co-Applicant,Urban,Rented,Others,0,23.58,144,22,8.29,0.26,0
155075,2022-11-19,939397,2022-12-08,159178,6.79,69,0,44.37,1,5,3,14,Business,Single,Female,Co-Applicant,Rural,Rented,Apartment,0,55.75,100,4,1.71,4.78,0
812208,2021-03-28,544524,2023-08-23,71373,12.79,57,1,4.24,0,3,4,16,Business,Widowed,Female,Co-Applicant,Urban,Owned,Apartment,0,22.69,233,13,7.71,3.07,0
531048,2022-12-08,201398,2021-10-12,86680,8.98,31,1,25.0,1,1,3,14,Business,Married,Other,Primary,Urban,Rented,Apartment,0,54.99,47,3,1.12,2.36,0
431341,2024-05-29,722824,2024-10-07,79247,7.76,52,1,46.62,1,1,2,14,Others,Divorced,Male,Co-Applicant,Urban,Rented,Others,0,27.11,195,3,7.65,2.18,1
409766,2020-07-02,104203,2022-09-07,52537,11.41,64,0,2.27,0,1,2,22,Others,Married,Male,Co-Applicant,Urban,Company Provided,House,1,48.67,119,11,1.94,2.95,0
692910,2024-01-07,376310,2022-05-14,119946,11.59,55,1,26.2,1,5,1,25,Business,Divorced,Male,Co-Applicant,Rural,Company Provided,Apartment,0,30.87,120,17,8.6,3.0,0
442475,2022-02-27,933256,2021-01-05,149824,7.67,57,0,9.9,1,5,2,2,Salary,Widowed,Other,Primary,Urban,Rented,Shared,0,32.79,78,21,7.57,4.5,1
689319,2021-01-24,136875,2023-05-11,143321,12.27,57,1,39.46,0,5,3,13,Business,Widowed,Other,Co-Applicant,Semi-Urban,Owned,House,1,49.33,91,14,5.52,2.9,0
113831,2023-08-13,754126,2022-05-04,187617,10.41,61,1,13.61,1,3,3,5,Business,Married,Female,Co-Applicant,Urban,Parents,Others,0,26.35,144,25,2.56,4.02,0
743300,2021-07-24,236518,2024-11-01,108753,6.18,19,0,27.7,0,5,2,2,Salary,Married,Female,Co-Applicant,Semi-Urban,Company Provided,Apartment,0,24.63,191,11,3.75,2.96,0
868581,2022-04-19,381355,2022-10-01,25046,6.59,46,0,40.14,0,1,1,16,Business,Married,Male,Co-Applicant,Rural,Rented,Others,0,32.71,57,23,2.59,0.42,1
532136,2022-04-06,489596,2023-11-01,28173,10.34,26,1,48.53,1,1,1,7,Others,Married,Male,Primary,Rural,Company Provided,Others,0,59.29,216,16,4.88,4.63,0
134147,2023-10-07,843593,2020-12-26,61484,9.17,31,1,42.78,1,2,3,1,Salary,Single,Male,Primary,Urban,Owned,Shared,0,43.52,222,22,7.74,0.24,0
872364,2021-09-01,842150,2020-12-08,147369,5.81,38,0,5.25,0,2,2,16,Business,Single,Female,Primary,Urban,Company Provided,Others,0,42.45,179,25,6.3,1.65,0
868844,2022-03-28,254887,2022-02-23,191517,12.06,57,0,44.37,1,2,4,8,Others,Married,Female,Primary,Rural,Owned,Shared,1,58.74,165,23,0.56,1.81,0
853598,2023-04-03,349707,2021-03-18,14208,9.02,49,1,4.04,1,5,1,7,Business,Single,Other,Primary,Urban,Company Provided,Apartment,0,29.93,189,11,2.07,2.53,1
896748,2023-03-23,560805,2023-10-16,153954,12.83,38,0,36.91,1,5,3,27,Business,Single,Female,Co-Applicant,Semi-Urban,Company Provided,Others,0,57.97,207,16,8.04,3.18,0
552462,2023-01-08,224276,2021-05-29,65711,7.5,57,1,27.51,0,3,1,23,Business,Divorced,Male,Primary,Rural,Parents,House,0,43.83,135,25,4.15,1.09,0
366718,2024-05-08,946632,2021-07-30,129954,10.44,50,0,35.84,0,0,4,28,Salary,Divorced,Other,Co-Applicant,Rural,Rented,Apartment,1,20.75,56,24,3.67,2.16,0
223181,2023-01-16,776811,2021-06-21,42511,13.02,35,0,13.93,1,5,1,6,Salary,Single,Other,Primary,Rural,Parents,Apartment,0,41.13,199,9,8.79,1.4,0
149465,2022-10-22,958586,2023-10-06,106008,5.4,32,1,27.8,1,0,3,7,Business,Single,Female,Co-Applicant,Urban,Company Provided,Apartment,0,55.06,104,9,8.08,0.98,0
888695,2024-05-23,134144,2020-04-18,97066,6.49,52,0,28.71,0,5,3,26,Salary,Widowed,Female,Primary,Urban,Company Provided,House,1,53.5,34,2,6.44,2.06,0
399317,2024-03-25,99533,2022-02-11,36676,14.71,48,0,32.18,1,3,2,28,Business,Widowed,Female,Co-Applicant,Rural,Parents,Shared,1,38.42,170,11,1.48,4.86,0
727310,2024-01-12,382253,2020-05-31,159523,12.1,56,0,39.09,0,3,2,2,Salary,Married,Other,Primary,Urban,Rented,Apartment,1,41.36,35,23,4.05,1.25,0
119158,2022-05-30,724702,2024-09-14,185439,8.48,41,0,45.48,1,4,2,11,Business,Divorced,Other,Co-Applicant,Rural,Parents,Apartment,0,58.32,205,11,5.56,3.49,0
246770,2023-01-25,860822,2020-04-04,79167,12.81,20,1,3.72,0,3,2,26,Others,Single,Female,Primary,Semi-Urban,Company Provided,Others,0,58.4,120,8,4.75,1.54,0
111380,2022-12-08,153753,2020-10-21,111693,5.49,55,0,25.8,0,2,4,11,Others,Widowed,Male,Co-Applicant,Urban,Owned,Apartment,0,25.42,102,5,5.72,3.56,1
208854,2023-08-12,122616,2021-07-23,65036,8.48,25,0,32.69,0,0,4,9,Salary,Married,Female,Co-Applicant,Urban,Rented,Apartment,1,49.35,226,7,6.9,1.77,0
807701,2024-02-28,161669,2021-02-01,178379,11.89,47,1,33.26,1,2,3,4,Business,Widowed,Male,Primary,Urban,Owned,Apartment,0,42.55,106,16,9.8,2.9,0
838778,2024-05-10,741771,2022-01-05,170541,12.24,68,0,15.78,1,3,1,1,Others,Married,Other,Co-Applicant,Rural,Company Provided,Shared,1,50.91,45,18,1.87,2.33,0
239090,2023-11-22,983281,2020-02-28,117284,14.76,25,0,5.93,0,0,3,25,Business,Married,Male,Primary,Urban,Parents,House,0,24.02,188,9,0.86,2.19,0
148683,2020-02-08,485239,2020-06-29,83298,11.7,33,0,47.62,0,2,4,5,Others,Single,Female,Primary,Rural,Rented,Apartment,0,47.4,132,12,7.06,1.65,0
415902,2022-10-08,363748,2020-03-01,189692,7.14,38,0,27.99,1,1,1,18,Salary,Widowed,Female,Co-Applicant,Urban,Parents,Apartment,0,22.24,180,4,3.62,0.33,1
415452,2024-12-24,101751,2023-05-02,96090,12.03,60,1,14.89,1,4,4,23,Salary,Divorced,Male,Primary,Semi-Urban,Rented,Others,1,50.52,139,14,9.67,3.93,0
380351,2023-04-08,156521,2024-05-25,145064,11.02,40,0,37.51,1,0,1,9,Others,Divorced,Female,Co-Applicant,Semi-Urban,Parents,House,0,51.2,205,17,4.33,4.64,0
778271,2022-10-29,832900,2022-07-28,192198,8.02,33,0,31.11,0,2,3,23,Business,Widowed,Other,Primary,Urban,Owned,Others,0,53.69,120,22,0.66,0.38,0
703562,2020-09-27,767152,2021-02-21,134743,12.49,30,1,5.49,0,4,3,14,Others,Single,Male,Primary,Rural,Owned,Apartment,1,35.21,201,25,8.12,1.76,0
343846,2022-02-20,851767,2020-11-22,153425,9.97,57,1,47.96,0,3,4,26,Others,Single,Female,Primary,Semi-Urban,Parents,Apartment,1,43.58,51,14,0.71,3.77,0
640530,2023-04-19,524257,2020-11-03,184257,12.03,43,0,44.1,0,5,1,7,Salary,Divorced,Other,Primary,Rural,Company Provided,Apartment,0,50.22,230,15,9.47,1.18,0
440693,2021-04-06,530509,2024-04-25,104191,8.94,22,1,3.23,0,5,2,4,Others,Widowed,Other,Primary,Rural,Company Provided,Others,0,23.72,167,13,3.61,0.65,0
495236,2023-07-31,509042,2021-01-20,61138,7.64,56,1,3.23,0,1,1,22,Salary,Widowed,Male,Primary,Semi-Urban,Rented,Apartment,0,35.2,200,17,5.81,3.32,1
442101,2024-03-28,832339,2022-03-28,136374,5.77,67,1,20.02,0,4,1,23,Salary,Widowed,Female,Primary,Rural,Company Provided,Shared,1,49.83,222,23,2.37,1.63,0
219267,2022-02-04,565916,2020-02-07,145648,7.35,36,0,37.48,1,4,1,29,Others,Divorced,Male,Primary,Urban,Parents,House,0,34.59,83,18,8.53,4.61,1
902559,2021-08-30,410140,2020-04-01,5422,10.77,27,0,8.82,0,2,1,15,Business,Single,Other,Co-Applicant,Urban,Parents,House,0,45.45,166,1,6.2,4.23,0
279882,2024-06-21,185275,2021-05-31,110616,13.1,70,1,23.58,1,4,4,22,Others,Widowed,Female,Primary,Urban,Parents,Apartment,0,46.73,114,5,8.85,4.0,0
397587,2022-11-25,756975,2023-11-28,107947,8.12,60,1,38.18,0,4,2,16,Business,Widowed,Male,Co-Applicant,Semi-Urban,Parents,Apartment,0,34.9,63,5,9.43,3.05,1
142872,2021-11-16,868845,2022-08-24,22338,6.24,58,0,46.96,1,2,3,13,Others,Divorced,Male,Primary,Semi-Urban,Rented,Shared,0,45.99,46,8,0.58,4.06,0
184639,2020-02-04,948538,2023-03-20,131632,14.39,24,0,11.51,1,2,2,20,Salary,Married,Other,Co-Applicant,Rural,Parents,House,1,53.96,57,23,5.94,2.79,0
770075,2020-08-07,404290,2021-04-16,179842,12.45,38,0,19.98,1,2,4,9,Business,Divorced,Male,Co-Applicant,Rural,Owned,Apartment,1,45.7,222,20,9.32,1.92,0
759879,2023-01-18,923798,2024-12-12,163128,7.89,35,1,18.94,1,1,3,1,Salary,Married,Female,Primary,Urban,Company Provided,Apartment,0,56.08,100,6,1.88,0.73,0
869609,2023-08-19,651760,2023-03-21,5979,13.63,43,1,16.65,1,3,3,16,Business,Single,Male,Primary,Urban,Company Provided,House,1,55.05,217,21,7.41,0.83,0
467574,2020-05-30,166385,2023-01-02,123996,12.68,35,0,1.35,1,2,1,27,Others,Single,Female,Primary,Rural,Parents,House,0,20.54,117,14,1.11,2.04,0
509287,2020-09-10,796041,2024-07-03,33483,7.37,65,1,30.94,1,3,3,26,Salary,Widowed,Other,Co-Applicant,Semi-Urban,Owned,Others,0,36.6,157,22,3.27,4.1,0
265163,2023-07-22,919278,2023-11-12,86078,7.9,55,1,10.65,1,0,2,8,Others,Divorced,Other,Primary,Rural,Parents,Shared,0,55.91,226,5,7.83,2.33,0
520811,2022-02-12,216454,2023-10-08,47063,6.6,39,0,27.54,0,3,3,19,Business,Divorced,Male,Primary,Urban,Parents,Apartment,0,49.95,199,21,9.4,4.62,0
439684,2021-02-27,548122,2021-10-29,187250,12.94,29,1,17.68,1,1,4,18,Others,Married,Male,Primary,Rural,Rented,Others,1,35.76,13,8,6.59,2.1,0
782269,2020-08-06,634250,2022-07-20,168647,6.65,32,0,3.93,1,5,2,28,Business,Divorced,Female,Primary,Rural,Company Provided,Apartment,0,33.21,48,8,3.7,0.89,1
765721,2024-04-28,786726,2024-04-17,5627,8.18,57,1,6.68,0,4,2,13,Salary,Married,Male,Primary,Urban,Rented,House,0,25.35,161,8,1.95,0.43,0
650956,2022-06-16,347482,2023-09-24,138947,11.44,38,1,14.52,1,5,4,3,Others,Single,Female,Primary,Semi-Urban,Company Provided,Apartment,0,25.85,144,5,9.4,4.92,0
839791,2022-07-03,549659,2024-03-26,10689,7.5,34,1,46.16,1,2,2,20,Others,Single,Other,Co-Applicant,Rural,Parents,House,1,34.93,118,6,8.04,4.72,1
109318,2024-12-13,84271,2020-12-10,15177,13.07,56,0,6.73,1,5,3,15,Business,Widowed,Other,Primary,Rural,Company Provided,Shared,1,32.11,41,7,3.61,1.66,0
482702,2024-09-22,267934,2023-05-20,88565,12.82,66,1,7.27,1,0,4,10,Others,Widowed,Female,Primary,Rural,Owned,Shared,1,31.85,58,14,6.06,2.7,0
567325,2021-10-05,247229,2024-01-31,95180,9.36,67,1,17.5,1,3,3,9,Others,Divorced,Male,Primary,Rural,Company Provided,House,1,41.35,193,19,1.65,0.95,0
510122,2020-03-03,300531,2020-12-09,107855,12.93,37,1,28.43,0,0,4,15,Salary,Divorced,Female,Primary,Urban,Rented,Shared,0,59.53,202,9,5.74,2.96,0
296371,2024-09-17,136327,2024-07-04,162158,6.1,33,1,33.58,0,1,4,1,Business,Widowed,Female,Primary,Urban,Parents,Shared,0,42.98,20,7,6.22,4.68,0
702435,2024-05-09,865736,2023-05-08,172284,7.97,51,1,45.95,1,4,4,30,Others,Divorced,Female,Co-Applicant,Rural,Parents,House,1,32.99,37,19,8.08,1.98,1
944882,2021-09-22,490092,2023-07-17,188136,14.75,66,0,47.28,1,1,1,26,Business,Married,Other,Co-Applicant,Urban,Rented,House,1,59.22,203,7,7.64,3.61,0
457751,2021-08-15,72930,2021-02-26,42209,11.67,49,0,27.81,0,5,4,18,Business,Married,Other,Co-Applicant,Rural,Company Provided,Others,0,28.16,175,20,3.36,4.21,0
608610,2021-10-24,106730,2022-04-10,196394,5.49,41,0,35.57,1,1,2,17,Business,Married,Female,Co-Applicant,Semi-Urban,Owned,Others,1,21.6,29,11,5.3,1.16,1
